bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
51;1;-5.0;5.0;0.0;0.0;1;1.0253;-0.14224433403753786;115.0;1;1.06;0.94
52;1;61.0;28.0;0.0;0.0;1;0.9979;-0.20699604928652748;115.0;1;1.06;0.94
53;1;69.0;3.0;0.0;0.0;1;0.9959;-0.30717794835100204;115.0;1;1.06;0.94
54;1;10.0;1.0;0.0;0.0;1;1.005;-0.28361600344907856;115.0;1;1.06;0.94
55;1;22.0;10.0;0.0;0.0;1;1.015;-0.21310470166850765;115.0;1;1.06;0.94
57;1;98.0;20.0;0.0;0.0;1;1.0335;-0.13962634015954636;115.0;1;1.06;0.94
58;1;14.0;1.0;0.0;0.0;1;0.9918;-0.10454522219446034;115.0;1;1.06;0.94
59;1;218.0;106.0;0.0;0.0;1;0.9789;-0.09232791743050003;115.0;1;1.06;0.94
60;1;0.0;0.0;0.0;0.0;1;1.0246;-0.1668534764906579;230.0;1;1.06;0.94
61;1;227.0;110.0;0.0;0.0;1;0.9906;-0.06056292504420324;115.0;1;1.06;0.94
62;1;0.0;0.0;0.0;0.0;1;1.016;-0.019198621771937627;230.0;1;1.06;0.94
63;2;70.0;30.0;0.0;0.0;1;0.9583;-0.3075270142014009;115.0;1;1.06;0.94
64;1;0.0;0.0;0.0;0.0;1;0.948;-0.22636920398366456;230.0;1;1.06;0.94
69;1;0.0;0.0;0.0;0.0;1;0.963;-0.44785148606174496;115.0;1;1.06;0.94
70;1;56.0;20.0;0.0;0.0;1;0.9513;-0.6136577650012062;115.0;1;1.06;0.94
71;1;116.0;38.0;0.0;0.0;1;0.9793;-0.5215043804959056;115.0;1;1.06;0.94
72;1;57.0;19.0;0.0;0.0;1;0.9696;-0.4796164784480418;115.0;1;1.06;0.94
73;1;224.0;71.0;0.0;0.0;1;0.9775;-0.4497713482389387;115.0;1;1.06;0.94
74;1;0.0;0.0;0.0;0.0;1;0.9964;-0.3839724354387525;230.0;1;1.06;0.94
76;2;208.0;107.0;0.0;0.0;1;0.9632;-0.46321038347929505;115.0;1;1.06;0.94
77;1;74.0;28.0;0.0;0.0;1;0.9837;-0.4352851154473858;115.0;1;1.06;0.94
78;1;0.0;0.0;0.0;0.0;1;0.99;-0.4197516851046363;115.0;1;1.06;0.94
79;1;48.0;14.0;0.0;0.0;1;0.982;-0.43580871422298406;115.0;1;1.06;0.94
80;1;28.0;7.0;0.0;0.0;1;0.9872;-0.43580871422298406;115.0;1;1.06;0.94
81;1;0.0;0.0;0.0;0.0;1;1.034;-0.3296926957017289;345.0;1;1.06;0.94
84;2;37.0;13.0;0.0;0.0;1;1.025;-0.29949849964222697;115.0;1;1.06;0.94
85;1;0.0;0.0;0.0;0.0;1;0.9872;-0.30857421175259747;230.0;1;1.06;0.94
86;1;0.0;0.0;0.0;0.0;1;0.9909;-0.24766222085799536;230.0;1;1.06;0.94
87;1;0.0;0.0;0.0;0.0;1;0.9921;-0.1356120828799594;230.0;1;1.06;0.94
88;1;0.0;0.0;0.0;0.0;1;1.0151;-0.36582101121801147;230.0;1;1.06;0.94
89;1;44.2;0.0;0.0;0.0;1;1.0317;-0.1942551457469689;115.0;1;1.06;0.94
90;1;66.0;0.0;0.0;0.0;1;1.0272;-0.19600047499896323;115.0;1;1.06;0.94
91;2;17.4;0.0;0.0;0.0;1;1.052;-0.16406094968746698;115.0;1;1.06;0.94
92;2;15.8;0.0;0.0;0.0;1;1.052;-0.10821041362364843;115.0;1;1.06;0.94
94;1;60.3;0.0;0.0;0.0;1;0.993;-0.16441001553786586;115.0;1;1.06;0.94
97;1;39.9;0.0;0.0;0.0;1;1.0183;-0.23108159296404923;115.0;1;1.06;0.94
98;2;66.7;0.0;0.0;0.0;1;1.0;-0.25481807079117214;115.0;1;1.06;0.94
99;1;83.5;0.0;0.0;0.0;1;0.9894;-0.35377823937925057;115.0;1;1.06;0.94
100;1;0.0;0.0;0.0;0.0;1;1.006;-0.2522000769131806;115.0;1;1.06;0.94
102;1;77.8;0.0;0.0;0.0;1;1.0008;-0.2658136450787364;115.0;1;1.06;0.94
103;1;32.0;0.0;0.0;0.0;1;1.0288;-0.21048670779051615;115.0;1;1.06;0.94
104;1;8.6;0.0;0.0;0.0;1;0.9958;-0.30246555937061725;115.0;1;1.06;0.94
105;1;49.6;0.0;0.0;0.0;1;1.0223;-0.22584560520806624;115.0;1;1.06;0.94
107;1;4.6;0.0;0.0;0.0;1;1.0095;-0.27977627909469105;115.0;1;1.06;0.94
108;2;112.1;0.0;0.0;0.0;1;0.99;-0.3536037064540512;115.0;1;1.06;0.94
109;1;30.7;0.0;0.0;0.0;1;0.9749;-0.45483280306972224;115.0;1;1.06;0.94
110;1;63.0;0.0;0.0;0.0;1;0.973;-0.43144539109299823;115.0;1;1.06;0.94
112;1;19.6;0.0;0.0;0.0;1;0.9725;-0.5007349623971732;115.0;1;1.06;0.94
113;1;26.2;0.0;0.0;0.0;1;0.97;-0.4429645641561608;115.0;1;1.06;0.94
114;1;18.2;0.0;0.0;0.0;1;0.9747;-0.4989896331451788;115.0;1;1.06;0.94
115;1;0.0;0.0;0.0;0.0;1;0.9603;-0.23684117949563052;115.0;2;1.06;0.94
116;1;0.0;0.0;0.0;0.0;1;1.0249;-0.2214822820780804;115.0;2;1.06;0.94
117;1;0.0;0.0;0.0;325.0;1;0.9348;-0.08237954069413235;115.0;2;1.06;0.94
118;1;14.1;650.0;0.0;0.0;1;0.9298;-0.07190756518216639;115.0;2;1.06;0.94
119;2;0.0;0.0;0.0;0.0;1;1.0435;0.09023352232810683;115.0;2;1.06;0.94
120;1;777.0;215.0;0.0;55.0;1;0.9584;-0.1530653753999027;115.0;2;1.06;0.94
121;1;535.0;55.0;0.0;0.0;1;0.9871;-0.22060961745208327;115.0;2;1.06;0.94
122;1;229.1;11.8;0.0;0.0;1;0.9728;-0.2506292805863857;115.0;2;1.06;0.94
123;1;78.0;1.4;0.0;0.0;1;1.0006;-0.3078760800517997;115.0;2;1.06;0.94
124;2;276.4;59.3;0.0;0.0;1;1.0233;-0.23544491609403506;115.0;2;1.06;0.94
125;2;514.8;82.7;0.0;0.0;1;1.0103;-0.3216641811425549;115.0;2;1.06;0.94
126;1;57.9;5.1;0.0;0.0;1;0.9978;-0.22444934180647078;115.0;2;1.06;0.94
127;1;380.8;37.0;0.0;0.0;1;1.0001;-0.18360863730980345;230.0;2;1.06;0.94
128;1;0.0;0.0;0.0;0.0;1;1.0024;-0.08342673824532895;230.0;2;1.06;0.94
129;1;0.0;0.0;0.0;0.0;1;1.0028;-0.07679448708775051;230.0;2;1.06;0.94
130;1;0.0;0.0;0.0;0.0;1;1.0191;0.09704030641088472;230.0;2;1.06;0.94
131;1;0.0;0.0;0.0;0.0;1;0.9861;0.10576695267085637;230.0;2;1.06;0.94
132;1;0.0;0.0;0.0;0.0;1;1.0045;0.05305800926062762;230.0;2;1.06;0.94
133;1;0.0;0.0;0.0;0.0;1;1.002;-0.09529497715889039;230.0;2;1.06;0.94
134;1;0.0;0.0;0.0;0.0;1;1.022;-0.14032447186034408;230.0;2;1.06;0.94
135;1;169.2;41.6;0.0;0.0;1;1.0193;-0.11798425743481668;230.0;2;1.06;0.94
136;1;55.2;18.2;0.0;0.0;1;1.0476;0.026878070480712675;230.0;2;1.06;0.94
137;1;273.6;99.8;0.0;0.0;1;1.0471;-0.02530727415391778;230.0;2;1.06;0.94
138;2;1019.2;135.2;0.0;0.0;1;1.055;-0.11082840750163991;230.0;2;1.06;0.94
139;1;595.0;83.3;0.0;0.0;1;1.0117;-0.06230825429619756;115.0;2;1.06;0.94
140;1;387.7;114.7;0.0;0.0;1;1.043;-0.060039326268604934;230.0;2;1.06;0.94
141;2;145.0;58.0;0.0;0.0;1;1.051;0.0008726646259971648;230.0;2;1.06;0.94
142;1;56.5;24.5;0.0;0.0;1;1.0155;-0.04834562028024293;230.0;2;1.06;0.94
143;2;89.5;35.5;0.0;0.0;1;1.0435;0.07033676885537149;230.0;2;1.06;0.94
144;1;0.0;0.0;0.0;0.0;1;1.016;-0.012217304763960306;230.0;2;1.06;0.94
145;1;24.0;14.0;0.0;0.0;1;1.0081;-0.0027925268031909274;230.0;2;1.06;0.94
146;2;0.0;0.0;0.0;0.0;1;1.0528;0.07539822368615504;230.0;2;1.06;0.94
147;2;0.0;0.0;0.0;0.0;1;1.0528;0.14590952546672595;230.0;2;1.06;0.94
148;1;63.0;25.0;0.0;0.0;1;1.0577;0.004886921905584123;230.0;2;1.06;0.94
149;2;0.0;0.0;0.0;0.0;1;1.0735;0.09128071987930345;230.0;2;1.06;0.94
150;1;0.0;0.0;0.0;0.0;1;0.9869;0.11065387457644049;230.0;2;1.06;0.94
151;1;0.0;0.0;0.0;0.0;1;1.0048;0.07208209810736581;230.0;2;1.06;0.94
152;2;17.0;9.0;0.0;0.0;1;1.0535;0.16126842288427606;230.0;2;1.06;0.94
153;2;0.0;0.0;0.0;0.0;1;1.0435;0.1825614397586069;230.0;2;1.06;0.94
154;1;70.0;5.0;0.0;34.5;1;0.9663;-0.031415926535897934;115.0;2;1.06;0.94
155;1;200.0;50.0;0.0;0.0;1;1.0177;0.11780972450961724;230.0;2;1.06;0.94
156;2;75.0;50.0;0.0;0.0;1;0.963;0.08988445647770797;115.0;2;1.06;0.94
157;1;123.5;-24.3;0.0;0.0;1;0.9845;-0.20821777976292352;230.0;2;1.06;0.94
158;1;0.0;0.0;0.0;0.0;1;0.9987;-0.19896753472735357;230.0;2;1.06;0.94
159;1;33.0;16.5;0.0;0.0;1;0.9867;-0.17139133254584316;230.0;2;1.06;0.94
160;1;0.0;0.0;0.0;0.0;1;0.9998;-0.21903882112528836;230.0;2;1.06;0.94
161;1;35.0;15.0;0.0;0.0;1;1.036;0.15446163880149816;230.0;2;1.06;0.94
162;1;85.0;24.0;0.0;0.0;1;0.9918;0.32288591161895097;230.0;2;1.06;0.94
163;1;0.0;0.4;0.0;0.0;1;1.041;0.050789081233034994;230.0;2;1.06;0.94
164;1;0.0;0.0;0.0;-212.0;1;0.9839;0.16859880574265224;230.0;2;1.06;0.94
165;1;0.0;0.0;0.0;0.0;1;1.0002;0.45919612619970807;230.0;2;1.06;0.94
166;1;0.0;0.0;0.0;-103.0;1;0.9973;0.5274384999526863;230.0;2;1.06;0.94
167;1;299.9;95.7;0.0;0.0;1;0.9715;-0.12060225131280818;230.0;2;1.06;0.94
168;1;0.0;0.0;0.0;0.0;1;1.0024;-0.08377580409572781;230.0;2;1.06;0.94
169;1;0.0;0.0;0.0;0.0;1;0.9879;-0.1165879940332212;230.0;2;1.06;0.94
170;2;481.8;205.0;0.0;0.0;1;0.929;0.0015707963267948964;115.0;2;1.06;0.94
171;2;763.6;291.1;0.0;0.0;1;0.9829;-0.17348572764823636;115.0;2;1.06;0.94
172;1;26.5;0.0;0.0;0.0;1;1.0244;-0.10855947947404729;115.0;2;1.06;0.94
173;1;163.5;43.0;0.0;53.0;1;0.9837;-0.22252947962927702;115.0;2;1.06;0.94
174;1;0.0;0.0;0.0;0.0;1;1.0622;-0.046949356878647465;115.0;2;1.06;0.94
175;1;176.0;83.0;0.0;0.0;1;0.973;-0.12583823906879116;115.0;2;1.06;0.94
176;2;5.0;4.0;0.0;0.0;1;1.0522;0.08150687606813518;115.0;2;1.06;0.94
177;2;28.0;12.0;0.0;0.0;1;1.0077;0.010821041362364843;115.0;2;1.06;0.94
178;1;427.4;173.6;0.0;0.0;1;0.9397;-0.11449359893082801;115.0;2;1.06;0.94
179;1;74.0;29.0;0.0;45.0;1;0.9699;-0.16353735091186866;115.0;2;1.06;0.94
180;1;69.5;49.3;0.0;0.0;1;0.9793;-0.05393067388662478;115.0;2;1.06;0.94
181;1;73.4;0.0;0.0;0.0;1;1.0518;-0.023212879051524585;230.0;2;1.06;0.94
182;1;240.7;89.0;0.0;0.0;1;1.0447;-0.07312929565856241;230.0;2;1.06;0.94
183;1;40.0;4.0;0.0;0.0;1;0.9717;0.12426744274199626;115.0;2;1.06;0.94
184;1;136.8;16.6;0.0;0.0;1;1.0386;-0.11955505376161157;230.0;2;1.06;0.94
185;2;0.0;0.0;0.0;0.0;1;1.0522;-0.07557275661135447;230.0;2;1.06;0.94
186;2;59.8;24.3;0.0;0.0;1;1.065;0.03787364476827695;230.0;2;1.06;0.94
187;2;59.8;24.3;0.0;0.0;1;1.065;0.024434609527920613;230.0;2;1.06;0.94
188;1;182.6;43.6;0.0;0.0;1;1.0533;-0.012566370614359171;230.0;2;1.06;0.94
189;1;7.0;2.0;0.0;0.0;1;0.9975;-0.4509930787153347;66.0;3;1.06;0.94
190;2;0.0;0.0;0.0;-150.0;1;1.0551;-0.3598868917612308;345.0;3;1.06;0.94
191;2;489.0;53.0;0.0;0.0;1;1.0435;0.21380283336930536;230.0;3;1.06;0.94
192;1;800.0;72.0;0.0;0.0;1;0.9374;-0.19512781037296603;230.0;3;1.06;0.94
193;1;0.0;0.0;0.0;0.0;1;0.9897;-0.45535640184532056;66.0;3;1.06;0.94
194;1;0.0;0.0;0.0;0.0;1;1.0489;-0.3352777493081107;345.0;3;1.06;0.94
195;1;0.0;0.0;0.0;0.0;1;1.0357;-0.3628539514896211;345.0;3;1.06;0.94
196;1;10.0;3.0;0.0;0.0;1;0.9695;-0.4419173666049642;115.0;3;1.06;0.94
197;1;43.0;14.0;0.0;0.0;1;0.9907;-0.41399209857305497;115.0;3;1.06;0.94
198;2;64.0;21.0;0.0;0.0;1;1.015;-0.359188760060433;115.0;3;1.06;0.94
199;1;35.0;12.0;0.0;0.0;1;0.9528;-0.45465827014452287;115.0;3;1.06;0.94
200;1;27.0;12.0;0.0;0.0;1;0.955;-0.45256387504212964;115.0;3;1.06;0.94
201;1;41.0;14.0;0.0;0.0;1;0.9692;-0.47979101137324115;66.0;1;1.06;0.94
202;1;38.0;13.0;0.0;0.0;1;0.9908;-0.44209189953016365;66.0;3;1.06;0.94
203;1;42.0;14.0;0.0;0.0;1;1.0033;-0.3900810878207327;115.0;3;1.06;0.94
204;1;72.0;24.0;0.0;0.0;1;0.9718;-0.4485496177625427;66.0;3;1.06;0.94
205;1;0.0;-5.0;0.0;0.0;1;0.9838;-0.4550073359949217;66.0;3;1.06;0.94
206;1;12.0;2.0;0.0;0.0;1;0.9992;-0.4783947479716457;66.0;3;1.06;0.94
207;1;-21.0;-14.2;0.0;0.0;1;1.0137;-0.47891834674724404;66.0;1;1.06;0.94
208;1;7.0;2.0;0.0;0.0;1;0.9929;-0.4586725274241098;66.0;3;1.06;0.94
209;1;38.0;13.0;0.0;0.0;1;0.9999;-0.44785148606174496;66.0;3;1.06;0.94
210;1;0.0;0.0;0.0;0.0;1;0.9788;-0.42271874483302657;115.0;3;1.06;0.94
211;1;96.0;7.0;0.0;0.0;1;1.0017;-0.4068362486398782;115.0;3;1.06;0.94
212;1;0.0;0.0;0.0;0.0;1;1.0132;-0.3928736146239236;138.0;3;1.06;0.94
213;2;0.0;0.0;0.0;0.0;1;1.01;-0.20367992370773827;16.5;3;1.06;0.94
214;1;22.0;16.0;0.0;0.0;1;0.9919;-0.305956217874606;138.0;3;1.06;0.94
215;1;47.0;26.0;0.0;0.0;1;0.9866;-0.3530801076784529;138.0;3;1.06;0.94
216;1;176.0;105.0;0.0;0.0;1;0.9751;-0.39322268047432246;138.0;3;1.06;0.94
217;1;100.0;75.0;0.0;0.0;1;1.0215;-0.38746309394274114;138.0;3;1.06;0.94
218;1;131.0;96.0;0.0;0.0;1;1.0075;-0.39496800972631674;138.0;3;1.06;0.94
219;1;0.0;0.0;0.0;0.0;1;1.0554;-0.36913713679680066;345.0;3;1.06;0.94
220;2;285.0;100.0;0.0;0.0;1;1.008;-0.3792600464583678;138.0;3;1.06;0.94
221;2;171.0;70.0;0.0;0.0;1;1.0;-0.39252454877352466;138.0;3;1.06;0.94
222;2;328.0;188.0;0.0;0.0;1;1.05;-0.4043927876870862;20.0;3;1.06;0.94
223;1;428.0;232.0;0.0;0.0;1;0.9965;-0.3961897402027128;138.0;3;1.06;0.94
224;1;173.0;99.0;0.0;0.0;1;1.0002;-0.37611845380477804;230.0;3;1.06;0.94
225;1;410.0;40.0;0.0;0.0;1;0.9453;-0.19792033717615698;230.0;3;1.06;0.94
226;1;0.0;0.0;0.0;0.0;1;1.018;-0.37716565135597463;230.0;3;1.06;0.94
227;2;538.0;369.0;0.0;0.0;1;1.0;-0.4750786223928565;27.0;3;1.06;0.94
228;1;223.0;148.0;0.0;0.0;1;1.0423;-0.3654719453676126;138.0;3;1.06;0.94
229;1;96.0;46.0;0.0;0.0;1;1.0496;-0.3480186528476693;138.0;3;1.06;0.94
230;2;0.0;0.0;0.0;0.0;1;1.04;-0.24120450262561635;20.0;3;1.06;0.94
231;1;159.0;107.0;0.0;-300.0;1;1.0535;-0.3703588672731967;345.0;3;1.06;0.94
232;1;448.0;143.0;0.0;0.0;1;1.0414;-0.40474185353748504;138.0;3;1.06;0.94
233;2;404.0;212.0;0.0;0.0;1;1.0;-0.4520402762665313;66.0;3;1.06;0.94
234;1;572.0;244.0;0.0;0.0;1;1.0387;-0.36459928074161546;138.0;3;1.06;0.94
235;1;269.0;157.0;0.0;0.0;1;1.0095;-0.36704274169440754;138.0;3;1.06;0.94
236;2;0.0;0.0;0.0;0.0;1;1.0165;-0.26878070480712674;20.0;3;1.06;0.94
237;1;0.0;0.0;0.0;0.0;1;1.0558;-0.36826447217080355;345.0;3;1.06;0.94
238;2;255.0;149.0;0.0;-150.0;1;1.01;-0.3654719453676126;138.0;3;1.06;0.94
239;2;0.0;0.0;0.0;0.0;1;1.0;-0.27680921936630065;138.0;3;1.06;0.94
240;1;0.0;0.0;0.0;-140.0;1;1.0237;-0.35150931135165797;230.0;3;1.06;0.94
241;2;0.0;0.0;0.0;0.0;1;1.05;-0.2879793265790644;20.0;3;1.06;0.94
242;2;0.0;0.0;0.0;0.0;1;0.993;-0.305956217874606;138.0;3;1.06;0.94
243;2;8.0;3.0;0.0;0.0;1;1.01;-0.3363249468593073;66.0;3;1.06;0.94
244;1;0.0;0.0;0.0;0.0;1;0.9921;-0.35273104182805404;66.0;3;1.06;0.94
245;1;61.0;30.0;0.0;0.0;1;0.9711;-0.36477381366681483;66.0;3;1.06;0.94
246;1;77.0;33.0;0.0;0.0;1;0.9651;-0.3794345793835672;66.0;3;1.06;0.94
247;1;61.0;30.0;0.0;0.0;1;0.9688;-0.3782128489071712;66.0;3;1.06;0.94
248;1;29.0;14.0;0.0;45.6;1;0.976;-0.44034657027816937;66.0;3;1.06;0.94
249;1;29.0;14.0;0.0;0.0;1;0.9752;-0.4476769531365455;66.0;3;1.06;0.94
250;1;-23.0;-17.0;0.0;0.0;1;1.0196;-0.41538836197465046;66.0;3;1.06;0.94
281;1;-33.1;-29.4;0.0;0.0;1;1.0251;-0.3501130479500625;230.0;3;1.06;0.94
319;1;115.8;-24.0;0.0;0.0;1;1.0152;0.025830872929516076;230.0;1;1.06;0.94
320;1;2.4;-12.6;0.0;0.0;1;1.0146;-0.03892084231947355;115.0;1;1.06;0.94
322;1;2.4;-3.9;0.0;0.0;1;1.0005;-0.3073524812762014;115.0;1;1.06;0.94
323;1;-14.9;26.5;0.0;0.0;1;0.981;-0.2389355745980237;230.0;1;1.06;0.94
324;1;24.7;-1.2;0.0;0.0;1;0.975;-0.408756110817072;115.0;1;1.06;0.94
526;1;145.3;-34.9;0.0;0.0;1;0.9429;-0.5988224663592545;115.0;1;1.06;0.94
528;1;28.1;-20.5;0.0;0.0;1;0.9723;-0.655894732899469;115.0;1;1.06;0.94
531;1;14.0;2.5;0.0;0.0;1;0.9604;-0.5078908123303499;115.0;1;1.06;0.94
552;1;-11.1;-1.4;0.0;0.0;1;1.0009;-0.4077089132658754;115.0;1;1.06;0.94
562;1;50.5;17.4;0.0;0.0;1;0.9777;-0.4886921905584123;230.0;1;1.06;0.94
609;1;29.6;0.6;0.0;0.0;1;0.9583;-0.5024802916491674;115.0;1;1.06;0.94
664;1;-113.7;76.7;0.0;0.0;1;1.0309;-0.29670597283903605;345.0;3;1.06;0.94
1190;1;100.31;29.17;0.0;0.0;1;1.0128;0.06806784082777885;86.0;2;1.06;0.94
1200;1;-100.0;34.17;0.0;0.0;1;1.0244;-0.13124875974997358;86.0;2;1.06;0.94
1201;1;0.0;0.0;0.0;0.0;1;1.0122;-0.2649409804527392;115.0;2;1.06;0.94
2040;1;0.0;0.0;0.0;0.0;1;0.9653;-0.2607521902479528;115.0;3;1.06;0.94
7001;2;0.0;0.0;0.0;0.0;1;1.0507;0.18832102629018815;13.8;1;1.06;0.94
7002;2;0.0;0.0;0.0;0.0;1;1.0507;0.21781709064889235;13.8;1;1.06;0.94
7003;2;0.0;0.0;0.0;0.0;1;1.0323;0.24015730507441974;13.8;1;1.06;0.94
7011;2;0.0;0.0;0.0;0.0;1;1.0145;0.08709192967451705;13.8;1;1.06;0.94
7012;2;0.0;0.0;0.0;0.0;1;1.0507;0.20193459445574394;13.8;1;1.06;0.94
7017;2;0.0;0.0;0.0;0.0;1;1.0507;-0.1827359726838063;13.8;1;1.06;0.94
7023;2;0.0;0.0;0.0;0.0;1;1.0507;0.10733774899765128;13.8;1;1.06;0.94
7024;2;0.0;0.0;0.0;0.0;1;1.029;0.21991148575128552;13.8;1;1.06;0.94
7039;2;0.0;0.0;0.0;0.0;1;1.05;0.03682644721708035;20.0;1;1.06;0.94
7044;2;0.0;0.0;0.0;0.0;1;1.0145;-0.24294983187761068;13.8;1;1.06;0.94
7049;3;0.0;0.0;0.0;0.0;1;1.0507;0.0;13.8;1;1.06;0.94
7055;2;0.0;0.0;0.0;0.0;1;0.9967;-0.1308996938995747;13.8;1;1.06;0.94
7057;2;0.0;0.0;0.0;0.0;1;1.0212;-0.060039326268604934;13.8;1;1.06;0.94
7061;2;0.0;0.0;0.0;0.0;1;1.0145;0.03438298626428829;13.8;1;1.06;0.94
7062;2;0.0;0.0;0.0;0.0;1;1.0017;0.10122909661567112;13.8;1;1.06;0.94
7071;2;0.0;0.0;0.0;0.0;1;0.9893;-0.44244096538056255;13.8;1;1.06;0.94
7130;2;0.0;0.0;0.0;0.0;1;1.0507;0.3319616237293215;13.8;2;1.06;0.94
7139;2;0.0;0.0;0.0;0.0;1;1.0507;0.04799655442984406;13.8;2;1.06;0.94
7166;2;0.0;0.0;0.0;0.0;1;1.0145;0.6117379028240124;13.8;2;1.06;0.94
9001;1;0.0;0.0;0.0;0.0;1;1.0117;-0.19634954084936207;115.0;9;1.06;0.94
9002;2;4.2;0.0;0.0;0.0;1;0.9945;-0.32916909692613056;6.6;9;1.06;0.94
9003;1;2.71;0.94;0.14;2.4;1;0.9833;-0.34348079679248406;6.6;9;1.06;0.94
9004;1;0.86;0.28;0.0;0.0;1;0.9768;-0.34592425774527613;6.6;9;1.06;0.94
9005;1;0.0;0.0;0.0;0.0;1;1.0117;-0.1975712713257581;115.0;9;1.06;0.94
9006;1;0.0;0.0;0.0;0.0;1;1.0029;-0.3040363556974122;6.6;9;1.06;0.94
9007;1;0.0;0.0;0.0;0.0;1;0.9913;-0.3262020371977402;6.6;9;1.06;0.94
9012;1;0.0;0.0;0.0;0.0;1;1.0023;-0.3014183618194207;6.6;9;1.06;0.94
